Name_of_class,Keywords_from_description
'manufacture of prepared meals and dishes',"['food service contractors', ""description =' manufacture"", ""see 5629 '>"", 'class includes manufacture', 'see 4711', 'see 4630', 'usually packaged', 'record n', 'immediate consumption', 'class excludes', 'canned form', 'retail sale', 'prepared meals', 'prepared meals', 'prepared meals', 'class', 'prepared', 'meals', 'meals', 'sale', 'wholesale', 'stores', 'seasoned', 'restaurants', 'ready', 'preparation', 'made', 'labeled', 'include', 'frozen', 'e', 'e', 'dishes', 'dishes', 'dishes', 'dishes', 'dishes', 'cooked', 'activities', '4721']"
'manufacture of other food products n.e.c.',"['see division 11', ""see 2100 '>"", 'food products n', ""description =' manufacture"", 'record n', 'botanical products', 'see 1075', 'see 1062', 'see 0128', 'spice crops', 'soft drinks', 'pharmaceutical use', 'frozen pizza', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'wine', 'spirits', 'preparation', 'inulin', 'growing', 'e', 'c', 'beer']"
'manufacture of prepared animal feeds',"['see 1040 ), grain milling residues', 'animal feed without special treatment', 'see 1040 activities resulting', 'prepared animal feeds', ""cattle feed '>"", ""description =' manufacture"", 'animal feed', 'see 1061', 'see 1020', '10801 manufacture', 'record n', 'products usable', 'oilseed cake', 'class excludes', 'production', 'production', 'oilseeds', 'g', 'fishmeal', 'etc', 'e']"
"'Distilling, rectifying and blending of spirits; ethyl alcohol production'","['distilled alcoholic beverages', ""description =' distilling"", ""contract basis )'>"", 'ethyl alcohol production', 'ethyl alcohol', 'see 4630', 'see 2011', 'see 1102', 'record n', 'merely bottling', 'fermented materials', 'class excludes', 'wholesale', 'spirits', 'rectifying', 'performed', 'performed', 'part', 'non', 'manufacture', 'manufacture', 'labeling', 'fee', 'blending', '8292', '1103']"
'manufacture of wines',"[""sub class description '>"", ""description =' manufacture"", 'class excludes', 'see 4630', 'see 1079', 'record n', 'merely bottling', 'contract basis', 'manufacture', 'wines', 'wholesale', 'vinegar', 'performed', 'performed', 'part', 'labeling', 'fee', '8292']"
'manufacture of malt liquors and malt',"[""description =' manufacture"", 'record n', 'malt liquors', ""malt '>""]"
'manufacture of soft drinks; production of mineral waters and other',"['mat é products', ""contract basis )'>"", ""description =' manufacture"", 'vegetable juice', 'soft drinks', 'see 4630', 'see 1103', 'see 1102', 'see 1079', 'see 1050', 'see 1030', 'record n', 'mineral waters', 'merely bottling', 'class excludes', 'bottled waters', 'based drinks', 'alcoholic wine', 'alcoholic beer', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'wholesale', 'tea', 'production', 'production', 'performed', 'performed', 'part', 'non', 'non', 'milk', 'labeling', 'fruit', 'fee', 'coffee', '8292']"
'manufacture of tobacco products',"[""description =' manufacture"", 'see 0115', 'record n', 'preliminary processing', 'class excludes', ""0163 '>"", 'tobacco products', 'tobacco', 'growing']"
'Preparation and spinning of textile fibres',"['plants bearing vegetable textile fibres', 'preparatory operations carried', ""description =' preparation"", ""see 2310 '>"", 'see 01 retting', '), see 116', 'see 0163 manufacture', 'textile fibres', 'see 2030', 'glass fibres', 'artificial fibres', 'artificial fibres', 'single yarns', 'record n', 'including high', 'cotton ginning', 'coir etc', 'class excludes', 'tenacity yarn', 'manufacture', 'manufacture', 'yarn', 'tows', 'synthetic', 'synthetic', 'spinning', 'jute', 'flax', 'farming', 'combination', 'carpets', 'agriculture']"
'Weaving of textiles',"['textile floor coverings', ""description =' weaving"", ""see 1391 '>"", 'see 1399', 'see 1399', 'see 1393', 'woven fabrics', 'record n', 'narrow fabrics', 'crocheted fabrics', 'class excludes', 'textiles', 'non', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'knitted', 'felts']"
'Finishing of textiles',"['textile articles including wearing apparel', 'self produced textile fibres', 'class also includes waterproofing', 'textile fabric impregnated', 'class includes bleaching', ""see 2219 '>"", 'rubberizing purchsed garments', ""description =' finishing"", 'textile fibres', 'class excludes', 'record n', 'chief constituent', 'yarns', 'textiles', 'steaming', 'shrinking', 'rubber', 'rubber', 'printing', 'mending', 'manufacture', 'laminated', 'fabrics', 'dyeing', 'drying', 'dressing', 'covered', 'coating', 'coated']"
