Name_of_class,Keywords_from_description
' Wholesale on a fee or contract basis',"['undertaking commercial transactions', ""description =' wholesale"", 'real estate agents', ""see 6820 '>"", 'store commission agents', 'class includes activities', 'commission agents', 'commission agents', 'class excludes', 'insurance agents', 'see 6622', 'see 4799', 'see 462', 'see 4510', 'see 4510', 'wholesale trade', 'retail sale', 'record n', 'motor vehicles', 'motor vehicles', 'contract basis', 'commodity brokers', 'buyers together', 'bringing sellers', 'trade', 'activities', 'activities', 'activities', 'activities', 'wholesalers', 'principal', 'others', 'non', 'name', 'involved', 'internet', 'including', 'fee', 'behalf', 'behalf', 'auctions', 'auctioneers', 'account', '469']"
' Wholesale of agricultural raw materials and live animals',"[""see 4669 '>"", 'agricultural raw materials', ""description =' wholesale"", 'textile fibres', 'record n', 'live animals', 'class excludes', 'wholesale']"
"' Wholesale of food, beverages and tobacco'","[""description =' wholesale"", 'class includes wholesale', 'tobacco products etc', 'class excludes', 'fishery products', 'dairy products', 'bakery products', 'sugar confectionery', 'see 1101', 'record n', 'manufactured tobacco', 'edible oils', 'distilled spirits', ""1102 '>"", 'tobacco', 'wine', 'vegetables', 'tea', 'spices', 'meat', 'fruits', 'food', 'fats', 'eggs', 'coffee', 'cocoa', 'blending', 'beverages', 'beverages']"
"'Wholesale of textiles, clothing and footwear'","[""see 4669 '>"", ""description =' wholesale"", 'see 4649', 'textile fibres', 'record n', 'leather goods', 'class excludes', 'wholesale', 'wholesale', 'textiles', 'jewellery', 'footwear', 'clothing']"
'Wholesale of other household goods',"[""see 4659 '>"", ""description =' wholesale"", 'see 4652', 'video tapes', 'record n', 'office furniture', 'household goods', 'class excludes', 'blank audio', 'wholesale', 'wholesale', 'dvds', 'cds']"
"'Wholesale of computers, computer peripheral equipment and software'","['peripheral equipment ), see 4659', ""see 4659 '>"", 'computer peripheral equipment', ""description =' wholesale"", 'see 4652', 'record n', 'office machinery', 'electronic parts', 'controlled machinery', 'class excludes', 'except computers', 'equipment', 'computer', 'wholesale', 'wholesale', 'wholesale', 'computers', 'software']"
'Wholesale of electronic and telecommunications equipment and parts',"[""see 4651 '>"", 'computer peripheral equipment', ""description =' wholesale"", 'telecommunications equipment', 'see 4649', 'video tapes', 'recorded audio', 'record n', 'class excludes', 'wholesale', 'wholesale', 'parts', 'electronic', 'dvds', 'computers', 'cds']"
"'Wholesale of agricultural machinery, equipment and supplies'","[""description =' wholesale"", ""supplies '>"", 'record n', 'agricultural machinery', 'equipment']"
'Wholesale of other machinery and equipment',"[""see 4652 '>"", 'motor vehicle parts', ""description =' wholesale"", 'motor vehicles', 'electronic parts', 'see 4651', 'see 4649', 'see 4540', 'see 4530', 'see 4510', 'record n', 'class excludes', 'peripheral equipment', 'communications equipment', 'equipment', 'wholesale', 'wholesale', 'wholesale', 'wholesale', 'wholesale', 'wholesale', 'trailers', 'telephone', 'motorcycles', 'machinery', 'computers', 'caravans', 'bicycles']"
"'Wholesale of solid, liquid and gaseous fuels and related products'","[""refined petroleum products '>"", 'liquefied petroleum gases', ""description =' wholesale"", 'class includes wholesale', 'related products', 'crude petroleum', 'record n', 'propane gas', 'heating oil', 'fuel wood', 'fuel oil', 'diesel fuel', 'crude oil', 'lubricating oils', 'gaseous fuels', 'oils', 'fuels', 'solid', 'naphtha', 'lubricants', 'liquid', 'kerosene', 'greases', 'greases', 'gasoline', 'coke', 'coal', 'charcoal', 'butane']"
'Wholesale of metals and metal ores',"['finished metal products n', ""see 4669 '>"", ""description =' wholesale"", 'class includes wholesale', 'ferrous metal ores', 'metal ores', 'record n', 'metal scrap', 'class excludes', 'primary forms', 'precious metals', 'ferrous semi', 'ferrous metals', 'wholesale', 'wholesale', 'wholesale', 'wholesale', 'metals', 'ferrous', 'ferrous', 'ferrous', 'non', 'non', 'non', 'gold', 'e', 'c']"
"'Wholesale of construction materials, hardware, plumbing and heating'","[""description =' wholesale"", ""supplies '>"", 'record n', 'heating equipment', 'construction materials', 'plumbing', 'hardware']"
'Wholesale of waste and scrap and other products n.e.c.',"['final product ), see 3830 dismantling', 'resulting secondary raw material', 'secondary raw material', ""see 4774 '>"", 'see 382 processing', 'see 381 treatment', ""description =' wholesale"", 'real transformation process', 'industrial manufacturing process', 'industrial manufacturing process', 'see 3830', 'see 3830', 'see 3830', 'mechanical process', 'retail sale', 'record n', 'products n', 'materials recovery', 'hand goods', 'class excludes', 'industrial waste', 'direct use', 'use', 'waste', 'waste', 'waste', 'televisions', 'shredding', 'ship', 'second', 'scrap', 'scrap', 'required', 'means', 'household', 'fit', 'equipment', 'e', 'disposal', 'computers', 'collection', 'cars', 'c', 'breaking', 'automobiles', 'articles', 'aim']"
'non-specialized wholesale trade',"['specialized wholesale trade', ""particular specialization '>"", ""description =' non"", 'class includes wholesale', 'record n', 'goods without', 'variety']"
"'retail sale in non-specialized stores with food, beverages or tobacco'","[""description =' retail sale"", 'class includes retail sale', 'retail sale activities', 'wearing apparel', 'specialized stores', 'record n', 'main sales', 'large variety', 'general stores', 'cosmetics etc', 'food products', 'food products', 'tobacco predominating', 'food', 'tobacco', 'tobacco', 'several', 'predominant', 'non', 'merchandise', 'lines', 'however', 'hardware', 'goods', 'furniture', 'beverages', 'beverages', 'beverages', 'appliances', 'apart', ""'>""]"
'other retail sale in non-specialized stores',"['class includes retail sale', 'retail sale activities', 'including wearing apparel', 'department stores carrying', 'sports goods etc', 'retail sale', 'specialized stores', 'record n', 'large variety', 'general line', 'food products', ""description ='"", 'goods', 'toys', 'tobacco', 'predominant', 'non', 'merchandise', 'jewellery', 'hardware', 'furniture', 'cosmetics', 'beverages', 'appliances', ""'>""]"
'retail sale of food in specialized stores',"[""description =' retail sale"", ""specialized stores '>"", 'record n', 'food']"
'retail sale of beverages in specialized stores',"[""description =' retail sale"", ""specialized stores '>"", 'record n', 'beverages']"
'retail sale of tobacco products in specialized stores',"[""description =' retail sale"", ""specialized stores '>"", 'tobacco products', 'record n']"
'retail sale of automotive fuel in specialized stores',"[""description =' retail sale"", 'petrol filling stations', 'liquefied petroleum gas', ""see 4773 '>"", 'retail sale', 'see 4661', 'specialized stores', 'remain classified', 'record n', 'often combined', 'motor vehicles', 'main object', 'class includes', 'class excludes', 'automotive fuel', 'automotive fuel', 'lubricating products', 'sale', 'products', 'wholesale', 'sales', 'lubricants', 'kinds', 'however', 'heating', 'fuels', 'cooking', 'cleaning', 'activity', 'activity']"
"'retail sale of computers, peripheral units, software and'","[""description =' retail sale"", ""see 4762 '>"", 'retail sale', 'telecommunications equipment', 'specialized stores', 'record n', 'peripheral units', 'class excludes', 'blank tapes', 'software', 'disks', 'computers']"
'retail sale of audio and video equipment in specialized stores',"[""description =' retail sale"", 'class includes retail sale', 'retail sale', 'retail sale', 'video equipment', 'television equipment', 'stereo equipment', 'specialized stores', ""recorders '>"", 'record n', 'dvd players', 'radio', 'cd', 'audio']"
'retail sale of textiles in specialized stores',"['sewing thread etc .)', ""description =' retail sale"", 'class includes retail sale', ""see 4771 '>"", 'retail sale', 'retail sale', 'retail sale', 'class excludes', 'specialized stores', 'record n', 'knitting yarn', 'embroidery making', 'basic materials', 'textiles', 'textiles', 'tapestry', 'rug', 'needles', 'haberdashery', 'fabrics', 'clothing']"
"'retail sale of hardware, paints and glass in specialized stores'","[""description =' retail sale"", ""specialized stores '>"", 'record n', 'paints', 'hardware', 'glass']"
"'Retail sale of carpets, rugs, wall and floor coverings in specialized'","[""description =' retail sale"", ""see 4752 '>"", 'cork floor tiles', 'retail sale', 'floor coverings', 'specialized stores', 'record n', 'class excludes', 'wall', 'rugs', 'carpets']"
"'retail sale of electrical household appliances, furniture, lighting'","[""description =' retail sale"", ""see 4774 '>"", 'electrical household appliances', 'retail sale', 'household articles', 'specialized stores', 'record n', 'lighting equipment', 'class excludes', 'furniture', 'antiques']"
"'retail sale of books, newspapers and stationary in specialized stores'","[""description =' retail sale"", ""see 4774 '>"", 'retail sale', 'specialized stores', 'record n', 'class excludes', 'antique books', 'books', 'stationary', 'second', 'newspapers', 'hand']"
'retail sale of music and video recordings in specialized stores',"[""description =' retail sale"", 'class includes retail sale', 'video tapes', 'video recordings', 'specialized stores', 'record n', 'musical records', ""discs '>"", 'compact discs', 'blank tapes', 'audio tapes', 'music', 'dvds', 'cassettes']"
'retail sale of sporting equipment in specialized stores',"[""description =' retail sale"", 'class includes retail sale', 'sports goods', 'sporting equipment', 'specialized stores', 'record n', 'fishing gear', 'camping goods', ""bicycles '>"", 'boats']"
'retail sale of games and toys in specialized stores',"[""description =' retail sale"", 'class includes retail sale', 'video game consoles', ""see 4741 '>"", 'including video games', 'retail sale', 'retail sale', 'see 4741', 'class excludes', 'specialized stores', 'record n', 'customized software', 'games', 'games', 'toys', 'toys', 'non', 'materials', 'made']"
"'retail sale of clothing, footwear and leather articles in specialized'","[""description =' retail sale"", ""see 4751 '>"", 'retail sale', 'specialized stores', 'record n', 'leather articles', 'class excludes', 'textiles', 'footwear', 'clothing']"
"'retail sale of pharmaceutical and medical goods, cosmetic and toilet'","[""description =' retail sale"", ""specialized stores '>"", 'toilet articles', 'record n', 'medical goods', 'pharmaceutical', 'cosmetic']"
'other retail sale of new goods in specialized stores',"[""specialized stores '>"", 'retail sale', 'record n', 'new goods', ""description ='""]"
'retail sale of second-hand goods',"['retail ), see 4791', ""description =' retail sale"", 'class includes retail sale', ""see 6492 '>"", 'hand motor vehicles', 'see 4510 activities', 'retail sale', 'retail sale', 'retail sale', 'class excludes', 'hand goods', 'hand goods', 'hand books', 'store auctions', 'record n', 'pawn shops', 'internet auctions', 'auctioning houses', 'retail', 'activities', 'activities', 'second', 'second', 'second', 'second', 'non', 'antiques', '4799']"
"'retail sale via stalls and markets of food, beverages and tobacco'","[""mobile food vendors ), see 5610 '>"", ""description =' retail sale via stalls"", 'retail sale', 'prepared food', 'tobacco products', 'record n', 'immediate consumption', 'class excludes', 'food', 'markets', 'beverages']"
"'retail sale via stalls and markets of textiles, clothing and footwear'","[""description =' retail sale via stalls"", 'record n', ""footwear '>"", 'textiles', 'markets', 'clothing']"
'retail sale via stalls and markets of other goods',"[""description =' retail sale via stalls"", 'class includes retail sale', 'goods via stalls', ""video recordings '>"", 'record n', 'household appliances', 'consumer electronics', 'goods', 'toys', 'rugs', 'music', 'markets', 'markets', 'games', 'carpets', 'books']"
'retail sale via mail order houses or via internet',"[""description =' retail sale via mail order houses"", 'retail sale activities', 'either directly downloaded', 'special means provided', 'via internet', 'order', 'mail', 'information provided', 'record n', 'products purchased', 'physically delivered', 'buyer makes', 'website ).', 'customer places', 'means', 'website', 'customer', 'internet', 'internet', 'usually', 'phone', 'models', 'class', 'choice', 'catalogues', 'basis', 'advertising', 'advertisements', ""'>""]"
"'other retail sale not in stores, stalls or markets'","['class includes retail sale', 'retail ), retail sale', '), delivered directly', 'vending machines etc', 'see groups 471', 'fire wood etc', '), direct selling', 'door sales persons', 'retail sale', 'direct sales', 'class excludes', 'record n', 'previous classes', 'heating oil', ""description ='"", 'customers premises', 'commission agents', ""477 '>"", 'store auctions', 'door', 'store', 'way', 'stores', 'stores', 'stalls', 'products', 'product', 'non', 'non', 'markets', 'kind', 'included', 'fuel', 'delivery', 'activities']"
' passenger rail transport',"[""description =' passenger rail transport"", 'class includes passenger transport', 'passenger terminal activities', 'suburban transit systems', 'passenger transport', 'class excludes', 'sleeping cars', 'sleeping cars', 'separate units', 'see 5590', 'see 5221', 'see 4921', 'record n', 'railway companies', 'dining cars', 'dining cars', ""5610 '>"", 'urban railways', 'integrated operation', 'urban', 'operation', 'operation', 'operated', 'inter']"
' urban or suburban passenger land transport',"['scheduled routes normally following', 'class includes land transport', 'suburban passenger land transport', 'normally fixed stops', 'suburban transport systems', ""see 4911 '>"", 'fixed time schedule', ""description =' urban"", 'passenger transport', 'class excludes', 'urban railways', 'record n', 'transport', 'urban', 'setting', 'picking', 'passengers', 'passengers', 'inter', 'entailing', 'carried']"
' other passenger land transport',"['class includes land transport', 'passenger land transport', ""see 8690 '>"", 'class excludes', 'ambulance transport', 'scheduled routes', 'record n', ""description ='"", 'operated']"
'Freight transport by road',"[""description =' freight transport"", 'log hauling within', 'waste collection activities', 'handling freight', 'waste transport', 'courier activities', 'terminal facilities', 'see 5310', 'see 5229', 'see 5221', 'see 3811', 'see 3600', 'see 0240', 'record n', 'packing services', 'logging operations', 'class excludes', ""3812 '>"", 'integrated part', 'transport', 'part', 'water', 'trucks', 'road', 'post', 'operation', 'forest', 'distribution', 'crating', '5320']"
'transport via pipeline',"['commodities via pipelines including operation', ""description =' transport via pipeline"", 'class includes transport', ""pump stations '>"", 'water slurry', 'record n', 'liquids', 'gases']"
'Sea and coastal passenger water transport',"['‚ äúfloating casinos ‚ äù', 'coastal passenger water transport', ""description =' sea"", ""see 9200 '>"", 'see 5610', 'separate units', 'record n', 'class excludes', 'board ships', 'bar activities', 'restaurant', 'provided', 'operation', '5630']"
'Sea and coastal freight water transport',"['coastal freight water transport', 'oil rigs etc', ""description =' sea"", ""see 5224 '>"", 'class includes transport', 'coastal waters', 'class excludes', 'see 5222', 'see 5210', 'whether scheduled', 'vessel salvage', 'record n', 'harbour operation', 'cargo handling', 'auxiliary activities', 'transport', 'freight', 'freight', 'towing', 'storage', 'seas', 'pushing', 'pilotage', 'lighterage', 'docking', 'barges']"
'inland passenger water transport',"[""description =' inland passenger water transport '>"", 'record n']"
'inland freight water transport',"[""description =' inland freight water transport"", 'freight via rivers', 'class includes transport', 'including inside harbours', 'inland waterways', 'record n', ""ports '>"", 'lakes', 'canals']"
'passenger air transport',"[""description =' passenger air transport '>"", 'record n']"
'Freight air transport',"[""description =' freight air transport '>"", 'record n']"
'Warehousing and storage',"[""description =' warehousing"", ""see 6810 '>"", 'self storage facilities', 'see 6810', 'parking facilities', 'see 5221', 'vacant space', 'record n', 'motor vehicles', 'class excludes', 'storage', 'rental', 'operation']"
'Service activities incidental to land transportation',"[""description =' service activities incidental"", ""see 5224 '>"", 'record n', 'land transportation', 'class excludes', 'cargo handling']"
'Service activities incidental to water transportation',"[""description =' service activities incidental"", ""see 9329 '>"", 'class includes operation', 'salvage activities', 'lighthouse activities', 'berthing activities', 'see 5224', 'class excludes', 'waterway locks', 'water transportation', 'terminal facilities', 'record n', 'cargo handling', 'operation', 'operation', 'pilotage', 'piers', 'navigation', 'marinas', 'lighterage', 'harbours']"
'Service activities incidental to air transportation',"[""description =' service activities incidental"", 'class includes operation', 'class excludes', 'terminal facilities', 'see 8530', 'see 5224', 'record n', 'flying schools', 'cargo handling', 'air transportation', ""8549 '>"", 'operation']"
'Cargo handling',"[""description =' cargo handling"", 'terminal facilities', 'see 5221', 'record n', 'class excludes', ""5223 '>"", 'operation', '5222']"
'Other transportation support activities',"[""see 7920 '>"", 'transportation support activities', 'tourist assistance activities', 'see 7912', 'see 7911', 'see 6512', 'see 5320', 'travel agencies', 'transport insurance', 'tour operators', 'record n', ""description ='"", 'courier activities', 'class excludes', 'activities', 'activities', 'provision', 'motor', 'marine', 'aviation']"
'Postal activities',"[""class includes national postal activities '>"", ""description =' postal activities"", 'record n']"
'Courier activities',"[""description =' courier activities"", 'class includes courier activities', ""universal service '>"", 'record n', 'operating']"
'Short term accommodation activities',"[""description =' short term accommodation activities"", 'unfurnished flats', 'record n', 'class excludes', 'provision', 'homes', 'furnished', 'apartments', ""'>""]"
"'Camping grounds, recreational vehicle parks and trailer parks'","[""description =' camping grounds"", 'short stay visitors', ""mountain shelters '>"", 'class includes provision', 'recreational vehicle parks', 'trailer parks', 'trailer parks', 'recreational vehicles', 'recreational camps', 'record n', 'hunting camps', 'accommodation provided', 'provision', 'accommodation', 'space', 'fishing', 'facilities', 'campgrounds']"
'other accommodation',"['record n', ""description ='"", ""accommodation '>""]"
'restaurants and mobile food service activities',"['mobile food service activities', ""see 5629 '>"", ""description =' restaurants"", 'record n', 'eating facilities', 'concession operation', 'class excludes']"
'event catering',"['class includes food services based', ""description =' event catering"", ""specific event '>"", 'record n', 'location specified', 'contractual arrangements', 'customer', 'customer']"
'other food service activities',"[""see division 47 '>"", 'perishable food items', 'perishable food items', 'food service activities', 'see 1079', 'retail sale', 'record n', ""description ='"", 'class excludes', 'resale', 'manufacture']"
'beverage serving activities',"[""description =' beverage serving activities"", 'dance floors without beverage serving', ""see 9329 '>"", 'see 4711', 'reselling packaged', 'record n', 'prepared beverages', 'class excludes', '4799 operation', 'discotheques', '4781', '4722']"
'book publishing',"[""description =' book publishing"", 'sheet books', 'see 7490', 'see 5920', 'see 5819', 'see 3299', 'record n', 'publishing books', 'independent authors', 'class includes', 'class excludes', 'audio form', 'advertising material', ""9000 '>"", 'publishing', 'publishing', 'production', 'print', 'music', 'internet', 'globes', 'electronic', 'activities', 'activities']"
'publishing of directories and mailing lists',"[""mailing lists '>"", ""description =' publishing"", 'record n', 'directories']"
"'publishing of newspapers, journals and periodicals'","[""description =' publishing"", 'television schedules', 'record n', 'electronic form', 'class includes', 'publishing', 'radio', 'print', 'periodicals', 'newspapers', 'journals', 'internet', 'including', 'included', 'activities', ""'>""]"
'other publishing activities',"[""application service provisioning ), see 6311 '>"", 'application hosting', 'see 5813', 'see 4741', 'retail sale', 'record n', 'line provision', ""description ='"", 'class excludes', 'advertising newspapers', 'publishing activities', 'publishing', 'software', 'software']"
'Software publishing',"[""application service provisioning ), see 6311 '>"", ""description =' software publishing"", 'application hosting', 'see 6201', 'see 4741', 'see 1820', 'retail sale', 'record n', 'line provision', 'class excludes', 'customized software', 'publishing', 'software', 'software', 'software', 'reproduction', 'production', 'non', 'associated']"
"'Motion picture, video and television programme activitie'","[""description =' motion picture"", 'motion picture industry', 'motion picture film', 'television programme activitie', 'recorded video tapes', 'blank video tapes', 'video tapes', 'video tapes', 'television broadcasting', 'live television', 'film processing', 'film duplicating', 'theatrical distribution', 'stage designers', 'see 7722', 'see 7490', 'see 7420', 'see 602', 'see 5920', 'see 5912', 'see 4762', 'see 4652', 'see 4649', 'retail trade', 'record n', 'personal theatrical', 'general public', 'except reproduction', 'closed captioning', 'class excludes', 'artistic agents', 'account actors', 'sound recording', 'production activities', 'video', 'recording', 'activities', 'activities', 'wholesale', 'wholesale', 'time', 'tape', 'simultaneous', 'renting', 'real', 'post', 'e', 'dvd', 'dvd', 'dvd', 'directors', 'cd', 'cd', 'cd', 'cartoonists', 'books', 'agencies', ""'>""]"
"'Motion picture, video and television programme post-production'","[""description =' motion picture"", 'motion picture industry', 'television programme post', 'recorded video tapes', 'blank video tapes', 'video tapes', 'video tapes', 'stage designers', 'see 7722', 'see 7420', 'see 4762', 'see 4652', 'see 4649', 'retail trade', 'record n', 'general public', 'film processing', 'film duplicating', 'class excludes', 'account actors', 'video', 'wholesale', 'wholesale', 'renting', 'production', 'dvd', 'dvd', 'dvd', 'directors', 'cd', 'cd', 'cd', 'cartoonists', 'activities', ""'>""]"
"'motion picture, video and television programme distribution activities'","[""television programme distribution activities '>"", ""description =' motion picture"", 'record n', 'video']"
'motion picture projection activities',"[""description =' motion picture projection activities '>"", 'record n']"
'Sound recording and music publishing activitiest',"[""description =' sound recording"", 'music publishing activitiest', ""music publishing '>"", 'class also includes', 'record n', 'master recordings', 'sound', 'includes', 'tapes', 'production', 'original', 'cd', 'activities', 'activities']"
'radio broadcasting',"['class includes broadcasting audio signals', ""see class 5920 '>"", ""description =' radio broadcasting"", 'radio broadcasting studios', 'radio broadcasting activities', 'taped radio programming', 'transmitting aural programming', 'internet radio stations', 'class excludes', 'aural programming', 'radio networks', 'record n', 'air broadcasts', 'subscribers via', 'internet', 'activities', 'subscribers', 'transmission', 'satellite', 'public', 'production', 'facilities', 'e', 'cable', 'assembling', 'affiliates', 'affiliates']"
'television programming and broadcasting activities',"[""see division 61 nan wired telecommunications activities wired telecommunications activities '>"", 'commercials ), see 5911 assembly', 'youth oriented programming ), may', '), self produced programme components', ""description =' television programming"", 'complete television channel programme', 'class also includes programming', 'purchased programme components', 'broadcasting activities', 'complete television programme', 'television programme elements', 'class includes creation', 'third party distributors', 'data broadcasting integrated', 'satellite television providers', 'made freely available', 'package via cable', 'programming may', 'television broadcasting', 'class excludes', 'cable companies', 'subscription basis', 'specialized nature', 'record n', 'producing unit', 'live reports', 'limited formats', 'either broadcast', 'combination thereof', 'local news', 'documentaries etc', 'demand channels', 'produced', 'may', 'satellite', 'package', 'available', 'news', 'documentaries', 'channels', 'viewers', 'video', 'users', 'transmission', 'sports', 'production', 'movies', 'movies', 'general', 'g', 'g', 'g', 'g', 'education', 'e', 'e', 'e', 'e', 'distribution']"
'Wired telecommunications activities',"[""description =' wired telecommunications activities '>"", 'record n']"
'Wireless telecommunications activities',"[""description =' wireless telecommunications activities '>"", 'record n']"
'Satellite telecommunications activities',"[""description =' satellite telecommunications activities '>"", 'record n']"
'other telecommunications activities',"['class includes specialized telecommunications applications', 'radar station operations', 'satellite terminal station', 'internet access etc', 'telecommunications activities', 'internet access', 'satellite tracking', 'record n', ""description ='"", 'communications telemetry', 'operation', 'networks', 'dial', ""'>""]"
'Computer programming activities',"[""description =' computer programming activities"", 'even though providing software might', 'integrate computer hardware', 'designing computer systems', 'publishing packaged software', ""see 6202 '>"", 'see 5820', 'record n', 'integral part', 'communication technologies', 'class excludes', 'software', 'planning']"
'Other information technology and computer service activities',"[""see 6201 '>"", 'computer service activities', 'computer programming', 'record n', 'information technology', ""description ='"", 'class excludes']"
"'Data processing, hosting and related activities'","[""description =' data processing"", ""related activities '>"", 'record n', 'hosting']"
'Web portals',"[""description =' web portals '>"", 'record n']"
'News agency activities',"[""description =' news agency activities"", 'news agency activities furnishing', 'class includes news syndicate', ""see 9000 '>"", 'class excludes', 'see 7420', 'record n', 'independent photojournalists', 'independent journalists', 'activities', 'activities']"
'Other information service activities n.e.c.',"['information service activities n', 'record n', ""description ='"", 'e', 'c', ""'>""]"
'Central banking',"[""description =' central banking"", 'class includes activities', 'reserve bank', 'record n', ""india '>""]"
'Other monetary intermediation',"['depository institutions granting credit', 'credit card transaction processing', ""see 6619 '>"", 'see 6492', 'settlement activities', 'record n', 'monetary intermediation', 'house purchase', ""description ='"", 'class excludes', 'non']"
'activities of holding companies',"['whose principal activity', ""description =' activities"", 'subsidiary corporations', 'record n', 'holding companies', 'holding companies', 'holding companies', 'owning controlling', 'class includes', 'activities', 'owning', 'class', 'units', 'units', 'service', 'provide', 'manage', 'levels', 'hold', 'held', 'group', 'group', 'equity', 'equity', 'e', 'e', 'businesses', 'assets', 'administer', ""'>""]"
"'Trusts, funds and other financial vehicles'","['class includes legal entities organized', 'achieve specific investment characteristics', 'entities earn interest', ""description =' trusts"", 'without managing', 'record n', 'property income', 'price volatility', 'pool securities', 'financial vehicles', 'financial assets', 'shareholders', 'services', 'sale', 'risk', 'revenue', 'return', 'rate', 'portfolios', 'little', 'funds', 'employment', 'dividends', 'diversification', 'customized', 'beneficiaries', 'behalf', ""'>""]"
'Financial leasing',"[""description =' financial leasing"", 'class includes leasing', 'term approximately covers', 'lessee acquires substantially', 'costs including interest', 'risks associated', 'record n', 'leases cover', 'expected life', 'asset may', 'may', 'asset', 'virtually', 'use', 'transferred', 'takes', 'ownership', 'ownership', 'eventually', 'benefits', ""'>""]"
'other credit granting',"['class includes financial service activities primarily concerned', 'venture capital companies', 'investment clubs ),', ""goods leased '>"", 'see division 77', 'credit cards etc', 'also take deposits', 'class excludes', 'see 6419', 'record n', 'operational leasing', 'monetary intermediation', 'industrial banks', 'house purchase', ""description ='"", 'credit granting', 'credit granting', 'specialized institutions', 'making loans', 'take', 'credit', 'granting', 'loans', 'institutions', 'variety', 'type', 'mortgages', 'involved', 'forms', 'according']"
"'Other financial service activities, except insurance and pension funding'","['financial service activities primarily concerned', ""viatical settlement companies )'>"", 'financial service activities', 'pension funding activities', 'factoring activities', 'making loans', 'hedging arrangements', 'except insurance', 'distributing funds', ""description ='"", 'class includes', 'record n', 'activities', 'n', 'writing', 'swaps', 'options', 'e', 'c']"
' life insurance',"[""without substantial savings element )'>"", 'class includes underwriting annuities', ""description =' life insurance"", 'disability income insurance policies', 'life insurance policies', 'dismemberment insurance policies', 'record n', 'accidental death']"
' non-life insurance',"[""description =' non"", 'class includes provision', ""liability insurance '>"", 'travel insurance', 'transport insurance', 'property insurance', 'life insurance', 'life insurance', 'insurance services', 'health insurance', 'fire insurance', 'record n', 'pecuniary loss', 'motor', 'marine', 'aviation', 'accident']"
' reinsurance',"['existing insurance policies originally underwritten', ""description =' reinsurance"", 'insurance carriers', 'risk associated', 'record n', 'class includes', 'part', 'assuming', 'activities', ""'>""]"
' pension funding',"['provide retirement income benefits exclusively', 'sponsor ‚ äôs employees', 'member ‚ äôs contribution', ""description =' pension funding"", 'class includes legal entities', 'includes pension plans', 'defined benefits', 'simply defined', 'record n', 'individual plans', 'benefits', 'plans', 'well', 'programmes', 'organized', 'members', 'funds', 'e', ""'>""]"
' Administration of financial markets',"[""commodity options exchanges '>"", 'futures commodity contracts exchanges', 'commodity contracts exchanges', ""description =' administration"", 'securities exchanges', 'stock exchanges', 'record n', 'public authorities', 'financial markets', 'financial markets', 'class includes', 'stock', 'supervision', 'operation']"
' Security and commodity contracts brokerage',"['bureaux de change etc', ""see 6499 '>"", ""description =' security"", 'commodity contracts brokerage', 'commodity contracts brokerage', 'class includes dealing', 'securities brokerage', 'class excludes', 'stock broking', 'record n', 'related activities', 'financial markets', 'dealing', 'markets', 'activities', 'others', 'g', 'e', 'behalf', 'account']"
' Activities auxiliary to financial service activities n.e.c.',"[""description =' activities auxiliary"", 'financial service activities n', 'financial transaction processing', 'class includes activities', ""contract basis '>"", 'settlement activities', 'record n', 'mortgage advisors', 'investment advisors', 'custody services', 'trustee', 'fiduciary', 'fee', 'e', 'c', 'brokers']"
'risk and damage evaluation',"[""settling insurance claims '>"", ""description =' risk"", 'record n', 'damage evaluation', 'administration services', 'insurance', 'provision', 'includes', 'assessing']"
'activities of insurance agents and brokers',"[""description =' activities"", 'reinsurance policies', 'record n', 'class includes', 'insurance intermediaries', 'insurance agents', 'insurance agents', 'activities', 'insurance', 'soliciting', 'selling', 'negotiating', 'brokers', 'brokers', 'annuities', ""'>""]"
'other activities auxiliary to insurance and pension funding',"['class includes activities involved', 'except claims adjusting', ""insurance agents )'>"", 'activities auxiliary', 'record n', 'pension funding', 'pension funding', ""description ='"", 'closely related', 'activities', 'insurance', 'insurance']"
'Fund management activities',"[""description =' fund management activities '>"", 'record n']"
'real estate activities with own or leased property',"[""description =' real estate activities"", 'residential mobile home sites', 'leased real estate', 'subdividing real estate', 'stay accommodation places', 'class includes buying', 'without land improvement', ""see 5510 '>"", 'see 5510', 'leased property', 'class excludes', 'see 4290', 'see 4100', 'unfurnished flats', 'similar accommodations', 'rooming houses', 'record n', 'permanent use', 'building projects', 'building projects', 'annual basis', 'trailer camps', 'suite hotels', 'residential', 'subdividing', 'land', 'hotels', 'camps', 'typically', 'space', 'short', 'selling', 'self', 'sale', 'renting', 'renting', 'providing', 'owned', 'operation', 'operation', 'operation', 'operation', 'operating', 'non', 'monthly', 'lots', 'improving', 'homes', 'furnished', 'e', 'development', 'development', 'buildings', 'apartments', '5520']"
'real estate activities on a fee or contract basis',"['contract basis including real estate related services', ""real estate escrow agents '>"", ""description =' real estate activities"", 'real estate agents', 'real estate activities', 'real estate', 'real estate', 'real estate', 'contract basis', 'contract basis', 'contract basis', 'appraisal services', 'record n', 'class includes', 'activities', 'selling', 'renting', 'provision', 'management', 'intermediation', 'fee', 'fee', 'fee', 'fee', 'buying', 'brokers']"
